relation	token	guess	count	source	lemma	translation	guesses
no-guess	onivaltzinquiz		1	1565 Sahagún Escolios	hualtzinquiza	recular o volver atrás, pt. onivaltzinquiz. onivaltziniloth (100-)	
no-guess	onixpatziuh		1	1565 Sahagún Escolios	ixpatzihui	Nacer bizco, pt. onixpatziuh (18-)	
no-guess	ontzitzicuin		1	1565 Sahagún Escolios	tzitzicuini	rociar con alguna cosa, pt. ontzitzicuin. (34)	
no-guess	oquichtzintli		1	1759 Paredes	oquitzintli	es oquichtzintli; y pierde la ch por la siguiente tz / oquich pierde la ch	
no-guess	oquiz		1	1565 Sahagún Escolios	calaqui  +	por una oreja le entra y por otra le sale el buen consejo, pt. oquiz ocalac (43)	
no-guess	otlachoquiztleuac		1	1565 Sahagún Escolios	tlachoquiztlehua	todos lloran a voces, pt. otlachoquiztleuac}	
no-guess	otlauizcalleuac		1	1565 Sahagún Escolios	tlahuizcalehua	asoma el alba, pt. otlauizcalleuac. (9)	
no-guess	otzatziuac		1	1565 Sahagún Escolios	tzatzihua	todos dan voces, pt. otzatziuac (16)	
no-guess	oualacoquiz		1	1565 Sahagún Escolios	hualacoquiza	se sube en alto, pt. oualacoquiz (22)	
no-guess	pachihuiz		1	1780 Clavijero	auh	Partícula equivalente al veró de los latinos. Cenca nimitztlazotla; auh inic moyollo pachihuiz, etcétera. Mucho te amo, y para que te satisfagas, etcétera. Auh quen tihuitz. ¿Y bien cómo vienes?	
no-guess	pacxantzin		1	1780 Clavijero	tenextlacotl	Véase Pacxantzin	
no-guess	pahuetzi		1	1571 Molina 2	panhuetzi  =	Cf. pahuetzi	
no-guess	panuetzi		1	1571 Molina 2	pahuetzi	lo mismo es que panuetzi.	
no-guess	piltzin		1	1551-95 Documentos nahuas de la Ciudad de México	ipiltzin	ver -piltzin	
no-guess	piltzinteuctl		1	1629 Alarcón	chicome xochitl	al venado llaman ahora Piltzinteuctl) / Chicome Xochitl	
no-guess	piltzinteuctli		1	1629 Alarcón	piltzinteuctli	él que ahora es venado en le primer siglo del venado se llamaba Piltzinteuctli	
no-guess	piltzintia		1	1571 Molina 2	pilpepenia  =	Cf. piltzintia	
no-guess	pixquizpan		1	1571 Molina 2	pixquipan  =	Cf. pixquizpan	
no-guess	quanatzinca		1	1571 Molina 2	cuatlapanca;  +	lo mismo es que quanatzinca.	
no-guess	quetzalhuitzitzil		1	1598 Tezozomoc	huitziltlachihualli	pluma muy menuda del quetzalhuitzitzil (sinzón), pájaro muy pequeño, relumbrante, que parecía de oro	
no-guess	quiquiza		1	1571 Molina 2	cuacualli atl quiquiza  =	Cf. quiquiza incuacualli atl	
no-guess	quiztihuetzi		1	1571 Molina 2	quiztiquiza  =	Cf. quiztihuetzi	
no-guess	quiztihuetziliztli		1	1571 Molina 2	quiztiquizaliztli  =	Cf. quiztihuetziliztli	
no-guess	quiztiquiçaliztli		1	1571 Molina 2	quiztihuetziliztli	lo mismo es que quiztiquiçaliztli.	
no-guess	taziticatian		1	1598 Tezozomoc	taçiticatyan	Cf. taziticatian	
no-guess	tecihuanitzin		1	1598 Tezozomoc	teçicuanitzin	Cf. tecihuanitzin	
no-guess	tehuizote		1	1984 Tzinacapan	tehuizotl	Tehuizote ( palma pequeña)	
no-guess	tentliltzin		1	1598 Tezozomoc	tentlitzin	Cf. tentliltzin	
no-guess	teotzinitzcan		1	1580 Sahagún/Máynez	teotzinitzcan	"Ave divina" "Teotzinitzcan legítimo"	
no-guess	tepitzin		1	17?? Bnf_362bis	tepiton	lo mismo que tepitzin	
no-guess	teteuhtzitzquia		1	1571 Molina 2	teteuhquitzquia  =	Cf. teteuhtzitzquia	
no-guess	tetzatziliani		1	1571 Molina 2	tetzatziliqui	lo mismo es que tetzatziliani.	
no-guess	tetzatziliqui		1	1571 Molina 2	tetzatziliani  =	Cf. tetzatziliqui	
no-guess	tetzauhmauiztic		1	1571 Molina 2	tetzauhtlamahuizolli	lo mismo es que tetzauhmauiztic.	
no-guess	tetzauhtlamahuizolli		1	1571 Molina 2	tetzauhmahuiztic  =	Cf. tetzauhtlamahuizolli	
no-guess	timiquiz		1	17?? Bnf_362bis	iciuhca,	(con ä larga y grave), presto, con presteza. Ma iciuhcä ximonahuatitehua, ca iciuhca timiquiz. haz presto tu testamento, porque en breve morirás	
no-guess	tizocicatzin		1	1598 Tezozomoc	tiçoçicatzin	Cf. tizocicatzin	
no-guess	tlacuauhtzitzquia		1	1571 Molina 2	tlacuauhquitzquia  =	Cf. tlacuauhtzitzquia	
no-guess	tlahuiltetzin		1	1598 Tezozomoc	tlaahuiltetzin	Cf. tlahuiltetzin	
no-guess	tlalcocoltzin		1	1780 Clavijero	cocoltzin	Véase Tlalcocoltzin	
no-guess	tlamahuiztililli		1	1571 Molina 2	tlamahuizotilli  =	Cf. tlamahuiztililli	
no-guess	tlamatzinco		1	1580 Sahagún/Máynez	tlamatzincatl	"El de Tlamatzinco"	
no-guess	tlanatonauiztli		1	1571 Molina 2	tlancoacihuiztli	lo mismo es que tlanatonauiztli.	
no-guess	tlancoacihuiztli		1	1571 Molina 2	tlanatonahuiztli  =	Cf. tlancoacihuiztli	
no-guess	tlatepozilpilli		1	1571 Molina 2	tlatepotzacutli  =	Cf. tlatepozilpilli	
no-guess	tlatlacatzintli		1	1571 Molina 2	tlatlacatl  =	Cf. tlatlacatzintli	
no-guess	tlatzetzeloani		1	1571 Molina 2	tlatzetzeloqui	lo mismo es que tlatzetzeloani.	
no-guess	tlatzetzeloqui		1	1571 Molina 2	tlatzetzeloani  =	Cf. tlatzetzeloqui	
no-guess	tlatzintlan		1	17?? Bnf_362bis	itzintlan	debajo de algo. vide Tlatzintlan	
no-guess	tlaçolmiquiztli		1	1629 Alarcón	tetlazolaltiloni	remedio, cura de tlaçolmiquiztli y netepalhuiliztli	
no-guess	tlehuitzilin		1	1598 Tezozomoc	tlehuitzillin	Cf. tlehuitzilin	
no-guess	totoquihuaztli		1	1598 Tezozomoc	totonquihuaztli	Cf. totoquihuaztli	
no-guess	tozmiquiztli		1	1598 Tezozomoc	tozmihuiztli	Cf. tozmiquiztli	
no-guess	tzatziliztli		1	1571 Molina 2	tzatziztli	lo mismo es que tzatziliztli.	
no-guess	tzatziztli		1	1571 Molina 2	tzatziliztli  =	Cf. tzatziztli	
no-guess	tzicatlinan		1	1780 Clavijero	cuauhtzicatlinan	Véase Tzicatlinan	
no-guess	tzicoac		1	1598 Tezozomoc	tziccoac	Cf. tzicoac	
no-guess	tzicoacatl		1	1598 Tezozomoc	tziccoacas	Cf. tzicoacatl	
no-guess	tzimpetlayo		1	1571 Molina 2	tzinacayo	lo mismo es que tzimpetlayo.	
no-guess	tzinacayo		1	1571 Molina 2	tzimpetlayo  =	Cf. tzinacayo	
no-guess	tzinitzcan		1	1551-95 Documentos nahuas de la Ciudad de México	tzinitzca	plumas que llaman tzinitzcan	
no-guess	tzitzihuan		1	1759 Paredes	itlazotzitzinhuan	se dice también, tzitzihuan, porque en la pronunciación, apenas se percibe la n, del plural tzitzinhuan	
no-guess	tzitzimitl		1	1580 Sahagún/Máynez	tzitzintlapatl	"Tlápatl de la tzitzimitl"	
no-guess	tzitzinhuan		1	1759 Paredes	itlazotzitzinhuan	se dice también, tzitzihuan, porque en la pronunciación, apenas se percibe la n, del plural tzitzinhuan	
no-guess	tzitzitza		1	1571 Molina 2	cacatza  =	Cf. tzitzitza	
no-guess	tzonquizaliztli		1	1571 Molina 2	tzonquizaliztli  =	Cf. tzonquizaliztli	
no-guess	tzonquizcayotl		1	1571 Molina 2	tzonquizalizyotl  =	Cf. tzonquizcayotl	
no-guess	tzoquizincan		1	1598 Tezozomoc	tzoquiçinga	Cf. tzoquizincan	
no-guess	xeretzi		1	1780 Clavijero	comalquilitl	Planta antihemorroidal que en Tarasco llaman Tzaguanguanitz Xeretzi	
no-guess	xhuiuhtzin		1	1551-95 Documentos nahuas de la Ciudad de México	ixhuiuhtzin	ver -xhuiuhtzin	
no-guess	xicotzi		1	1571 Molina 2	xizo  =	Cf. xicotzi	
no-guess	yamaziliztli		1	1571 Molina 2	yamaniliztli  =	Cf. yamaziliztli	
no-guess	yaotzatzi		1	1571 Molina 2	yaotzatzilia	lo mismo es que yaotzatzi.	
no-guess	yaotzatzilia		1	1571 Molina 2	yaotzatzi  =	cf. yaotzatzilia	
no-guess	yctitotzinquixtizque		1	1571 Molina 2	aoctle itech titotlamizque	lo mismo es que aoctle yctitotzinquixtizque.	
no-guess	ylamatcatzitzintin		1	1547 Olmos_G	ilamatzin	vieja honrada, o viejecita; plural ylamatcatzitzintin	
no-guess	yohuatzinco		1	1780 Clavijero	axcan	Ahora, al presente. Axcan yohuatzinco, esta mañana, Axcan teotlac, esta tarde. Axcan yohualtica, esta noche: Axcan nepantla tonatiuh. Hoy a mediodía, etcétera.	
no-guess	ypillotzitzihuan		1	17?? Bnf_362	pillotl	{así} llaman ellos solo a sus sobrinas, de donde se ve cuánta propiedad fué llamar a los Ángeles Ypillotzitzihuan in Dios, como se ve en un Autor Antiguo	
no-guess	çolmiquiztli		1	1629 Alarcón	tlazolmimiquiliztli	significa casi lo mismo [que tlàçolmiquiztli], solo denota juntamente la falta del sentido	
